吧,ba,"đi, nhé, nhỉ (đứng cuối câu)",请你帮我吧。,Qǐng nǐ bāng wǒ ba.,Xin bạn giúp tôi nhé.
白,bái,trắng,他的白色衬衫很漂亮。,Tā de báisè chènshān hěn piàoliang.,Áo sơ mi trắng của anh ấy rất đẹp.
百,bǎi,trăm,我们要买一百个苹果。,Wǒmen yào mǎi yī bǎi gè píngguǒ.,Chúng tôi muốn mua một trăm quả táo.
帮助,bāngzhù,giúp đỡ,请你帮忙翻译这篇文章。,Qǐng nǐ bāngmáng fānyì zhè piān wénzhāng.,Xin bạn giúp dịch bài viết này.
报纸,bàozhǐ,báo,我每天都看报纸。,Wǒ měitiān dōu kàn bàozhǐ.,Tôi đọc báo mỗi ngày.
比,bǐ,so sánh,我的家比你的家大。,Wǒ de jiā bǐ nǐ de jiā dà.,Nhà của tôi lớn hơn nhà của bạn.
别,bié,"đừng, khác biệt",别忘带钥匙。,Bié wàng dài yàoshi.,Đừng quên mang theo chìa khóa.
长,cháng,dài,她的头发很长。,Tā de tóufǎ hěn cháng.,Tóc của cô ấy rất dài.
唱歌,chànggē,hát,我喜欢唱歌。,Wǒ xǐhuān chànggē.,Tôi thích hát.
出,chū,ra ngoài,我们出去玩吧。,Wǒmen chūqù wán ba.,Chúng ta ra ngoài chơi đi.
穿,chuān,mặc,你穿的衣服很漂亮。,Nǐ chuān de yīfú hěn piàoliang.,Quần áo bạn mặc rất đẹp.
船,chuán,thuyền,他坐在船上。,Tā zuò zài chuán shàng.,Anh ấy ngồi trên thuyền.
次,cì,lần,这是我第一次来这里。,Zhè shì wǒ dì yī cì lái zhèlǐ.,Đây là lần đầu tiên tôi đến đây.
从,cóng,"từ, theo",他从早上工作到晚上。,Tā cóng zǎoshang gōngzuò dào wǎnshang.,Anh ấy làm việc từ sáng đến tối.
错,cuò,sai,他做错了一个题。,Tā zuò cuòle yīgè tí.,Anh ấy đã làm sai một bài tập.
打篮球,dǎ lánqiú,chơi bóng rổ,他打篮球打得很好。,Tā dǎ lánqiú dǎ de hěn hǎo.,Anh ấy chơi bóng rổ rất giỏi.
大家,dàjiā,mọi người,大家都很高兴。,Dàjiā dōu hěn gāoxìng.,Mọi người đều rất vui.
但是,dànshì,nhưng,我想去，但是没有时间。,"Wǒ xiǎng qù, dànshì méiyǒu shíjiān.","Tôi muốn đi, nhưng không có thời gian."
到,dào,đến,我们今天到学校了。,Wǒmen jīntiān dào xuéxiào le.,Hôm nay chúng tôi đã đến trường.
得,děi,"phải, đạt được",你得努力学习。,Nǐ děi nǔlì xuéxí.,Bạn phải cố gắng học.
等,děng,đợi,我们等你来。,Wǒmen děng nǐ lái.,Chúng tôi đợi bạn đến.
