阿姨,āyí,"dì, cô",阿姨非常喜欢我们。,Āyí fēicháng xǐhuān wǒmen.,Dì rất thích chúng tôi.
啊,a,"a, à, ơ (trợ từ ngữ khí)",啊，我忘记了！,"A, wǒ wàngjì le!","À, tôi quên rồi!"
矮,ǎi,"thấp, lùn",他比我矮。,Tā bǐ wǒ ǎi.,Anh ấy thấp hơn tôi.
爱好,àihào,sở thích,我的爱好是画画儿。,Wǒ de àihào shì huà huàr.,Sở thích của tôi là vẽ tranh.
安静,ānjìng,yên tĩnh,请保持安静。,Qǐng bǎochí ānjìng.,Xin hãy giữ yên lặng.
把,bǎ,"đem, lấy (giới từ)",把书给我。,Bǎ shū gěi wǒ.,Đưa cuốn sách cho tôi.
班,bān,"lớp, ca (làm việc)",我们班有二十个学生。,Wǒmen bān yǒu èrshí gè xuéshēng.,Lớp chúng tôi có hai mươi học sinh.
搬,bān,"chuyển, dời",他搬家到北京了。,Tā bānjiā dào Běijīng le.,Anh ấy đã chuyển nhà đến Bắc Kinh.
半,bàn,một nửa,我们半个小时后见。,Wǒmen bàn gè xiǎoshí hòu jiàn.,Chúng ta gặp nhau sau nửa giờ.
办法,bànfǎ,biện pháp,我有一个好办法。,Wǒ yǒu yīgè hǎo bànfǎ.,Tôi có một cách hay.
办公室,bàngōngshì,văn phòng,他在办公室工作。,Tā zài bàngōngshì gōngzuò.,Anh ấy làm việc ở văn phòng.
帮忙,bāngmáng,giúp đỡ (động từ li hợp),有你帮忙我就放心了。,Yǒu nǐ bāngmáng wǒ jiù fàngxīn le.,Có bạn giúp thì tôi yên tâm rồi.
包,bāo,"túi, bao",我的包丢了。,Wǒ de bāo diū le.,Cái túi của tôi bị mất rồi.
饱,bǎo,no,我吃饱了。,Wǒ chī bǎo le.,Tôi ăn no rồi.
北方,běifāng,miền Bắc,北方的冬天很冷。,Běifāng de dōngtiān hěn lěng.,Mùa đông ở phía Bắc rất lạnh.
被,bèi,"bị, được (giới từ bị động)",他被老师表扬了。,Tā bèi lǎoshī biǎoyáng le.,Anh ấy được thầy giáo khen ngợi.
比较,bǐjiào,"khá, tương đối",她比较高。,Tā bǐjiào gāo.,Cô ấy khá cao.
比赛,bǐsài,"cuộc thi, thi đấu",他们在参加比赛。,Tāmen zài cānjiā bǐsài.,Họ đang tham gia thi đấu.
必须,bìxū,"phải, cần phải",你必须按时到。,Nǐ bìxū ànshí dào.,Bạn phải đến đúng giờ.
变化,biànhuà,thay đổi,这里的天气变化很大。,Zhèlǐ de tiānqì biànhuà hěn dà.,Thời tiết ở đây thay đổi rất nhiều.
